split,class,count
train,air_hole,3744
train,bite_edge,3520
train,broken_arc,3840
train,crack,5039
train,lack_of_fusion,3584
train,lack_of_penetration,2893
train,no_defect,3900
train,overlap,3976
train,porosity,4108
train,slag_inclusion,3584
val,air_hole,20
val,bite_edge,8
val,broken_arc,61
val,crack,1937
val,lack_of_fusion,12
val,lack_of_penetration,1113
val,no_defect,1500
val,overlap,54
val,porosity,1580
val,slag_inclusion,5
test,air_hole,9
test,bite_edge,5
test,broken_arc,26
test,crack,778
test,lack_of_fusion,6
test,lack_of_penetration,446
test,no_defect,600
test,overlap,23
test,porosity,632
test,slag_inclusion,4
