split,dataset,empty,non_empty,empty_ratio,non_empty_ratio
train,neu,1238,2518,0.32960596379126733,0.6703940362087327
train,dagm,1400,3150,0.3076923076923077,0.6923076923076923
val,se,7356,12707,0.3666450680356876,0.6333549319643124
train,custom,8976,16904,0.34683153013910356,0.6531684698608965
train,gdx,2760,5720,0.32547169811320753,0.6745283018867925
test,neu,1,181,0.005494505494505495,0.9945054945054945
test,dagm,200,30,0.8695652173913043,0.13043478260869565
test,sev,1052,1816,0.3668061366806137,0.6331938633193863
test,custom,0,79,0.0,1.0
test,gdx,13,28,0.3170731707317073,0.6829268292682927
val,neu,0,359,0.0,1.0
val,dagm,400,60,0.8695652173913043,0.13043478260869565
val,sev,2101,3630,0.3666026871401152,0.6333973128598849
val,custom,0,154,0.0,1.0
val,gdx,23,52,0.30666666666666664,0.6933333333333334
